Size,SeqFreqTime,OpenCLFreqTime
100,0.0000,0.0000
115,0.0000,0.0000
132,0.0000,0.0000
152,0.0000,0.0000
175,0.0000,0.0000
201,0.0000,0.0000
231,0.0000,0.0000
266,0.0000,0.0000
305,0.0000,0.0000
351,0.0000,0.0000
404,0.0000,0.0000
464,0.0000,0.0000
534,0.0000,0.0000
614,0.0000,0.0000
705,0.0000,0.0000
811,0.0000,0.0000
933,0.0000,0.0000
1072,0.0000,0.0000
1233,0.0000,0.0000
1417,0.0000,0.0000
1630,0.0000,0.0000
1874,0.0000,0.0000
2154,0.0000,0.0000
2477,0.0000,0.0000
2848,0.0000,0.0000
3275,0.0000,0.0000
3765,0.0000,0.0000
4329,0.0000,0.0000
4977,0.0000,0.0000
5722,0.0000,0.0000
6579,0.0000,0.0000
7565,0.0000,0.0000
8697,0.0000,0.0000
10000,0.0000,0.0000
11498,0.0010,0.0000
13219,0.0000,0.0000
15199,0.0000,0.0000
17475,0.0000,0.0000
20092,0.0000,0.0000
23101,0.0000,0.0000
26561,0.0000,0.0000
30539,0.0000,0.0000
35112,0.0000,0.0000
40370,0.0000,0.0001
46416,0.0000,0.0001
53367,0.0000,0.0001
61359,0.0000,0.0001
70548,0.0000,0.0001
81113,0.0000,0.0001
93260,0.0000,0.0001
107227,0.0000,0.0002
123285,0.0000,0.0002
141747,0.0010,0.0002
162975,0.0000,0.0002
187382,0.0010,0.0002
215443,0.0000,0.0003
247708,0.0010,0.0003
284804,0.0010,0.0002
327455,0.0000,0.0002
376494,0.0010,0.0002
432876,0.0010,0.0003
497702,0.0010,0.0003
572237,0.0010,0.0002
657933,0.0010,0.0003
756463,0.0020,0.0003
869749,0.0010,0.0003
1000000,0.0030,0.0003
1149757,0.0030,0.0003
1321941,0.0050,0.0003
1519911,0.0050,0.0003
1747528,0.0060,0.0003
2009233,0.0070,0.0003
2310130,0.0080,0.0003
2656088,0.0080,0.0003
3053856,0.0090,0.0003
3511192,0.0110,0.0003
4037017,0.0130,0.0003
4641589,0.0170,0.0004
5336699,0.0180,0.0003
6135907,0.0200,0.0004
7054802,0.0230,0.0004
8111308,0.0270,0.0004
9326033,0.0300,0.0008
10722672,0.0350,0.0008
12328467,0.0500,0.0008
14174742,0.0460,0.0009
16297508,0.0530,0.0009
18738174,0.0620,0.0013
21544347,0.0710,0.0013
24770764,0.0820,0.0014
28480359,0.0940,0.0019
32745492,0.1090,0.0020
37649358,0.1220,0.0024
43287613,0.1400,0.0025
49770236,0.1620,0.0030
57223677,0.1900,0.0034
65793322,0.2130,0.0040
75646333,0.2460,0.0045
86974900,0.2850,0.0049
100000000,0.3290,0.0056
