Size,CompressionRatio%
100,0.7300
115,0.7391
132,0.7652
152,0.7763
175,0.7943
201,0.8060
231,0.8095
266,0.8233
305,0.8393
351,0.8519
404,0.8614
464,0.8621
534,0.8633
614,0.8681
705,0.8709
811,0.8718
933,0.8767
1072,0.8834
1233,0.8873
1417,0.8892
1630,0.8945
1874,0.8975
2154,0.9034
2477,0.9031
2848,0.9048
3275,0.9026
3765,0.9052
4329,0.9074
4977,0.9076
5722,0.9096
6579,0.9121
7565,0.9113
8697,0.9110
10000,0.9119
11498,0.9126
13219,0.9132
15199,0.9120
17475,0.9127
20092,0.9113
23101,0.9106
26561,0.9098
30539,0.9101
35112,0.9099
40370,0.9098
46416,0.9099
53367,0.9100
61359,0.9096
70548,0.9102
81113,0.9097
93260,0.9098
107227,0.9098
123285,0.9095
141747,0.9091
162975,0.9094
187382,0.9092
215443,0.9090
247708,0.9078
284804,0.9077
327455,0.9079
376494,0.9079
432876,0.9077
497702,0.9076
572237,0.9077
657933,0.9077
756463,0.9080
869749,0.9078
1000000,0.9078
1149757,0.9079
1321941,0.9079
1519911,0.9079
1747528,0.9079
2009233,0.9081
2310130,0.9080
2656088,0.9078
3053856,0.9079
3511192,0.9078
4037017,0.9080
4641589,0.9079
5336699,0.9081
6135907,0.9078
7054802,0.9079
8111308,0.9081
9326033,0.9079
10722672,0.9081
12328467,0.9080
14174742,0.9079
16297508,0.9080
18738174,0.9080
21544347,0.9082
24770764,0.9079
28480359,0.9079
32745492,0.9082
37649358,0.9081
43287613,0.9080
49770236,0.9081
57223677,0.9081
65793322,0.9081
75646333,0.9079
86974900,0.9081
100000000,0.9081
