Size,SeqGenTime,OpenCLGenTime
100,0.0000,0.0010
115,0.0000,0.0000
132,0.0000,0.0000
152,0.0000,0.0000
175,0.0000,0.0020
201,0.0000,0.0010
231,0.0000,0.0000
266,0.0000,0.0000
305,0.0000,0.0000
351,0.0010,0.0000
404,0.0000,0.0010
464,0.0000,0.0000
534,0.0000,0.0000
614,0.0000,0.0010
705,0.0000,0.0000
811,0.0000,0.0010
933,0.0000,0.0000
1072,0.0000,0.0010
1233,0.0000,0.0000
1417,0.0000,0.0000
1630,0.0010,0.0000
1874,0.0000,0.0010
2154,0.0000,0.0010
2477,0.0010,0.0010
2848,0.0010,0.0010
3275,0.0010,0.0010
3765,0.0010,0.0010
4329,0.0000,0.0000
4977,0.0010,0.0010
5722,0.0010,0.0000
6579,0.0010,0.0000
7565,0.0010,0.0000
8697,0.0020,0.0010
10000,0.0010,0.0000
11498,0.0020,0.0000
13219,0.0030,0.0010
15199,0.0030,0.0000
17475,0.0030,0.0000
20092,0.0040,0.0000
23101,0.0040,0.0000
26561,0.0050,0.0010
30539,0.0060,0.0000
35112,0.0060,0.0010
40370,0.0070,0.0010
46416,0.0080,0.0010
53367,0.0100,0.0000
61359,0.0110,0.0010
70548,0.0130,0.0000
81113,0.0150,0.0010
93260,0.0160,0.0020
107227,0.0200,0.0010
123285,0.0220,0.0010
141747,0.0270,0.0010
162975,0.0300,0.0000
187382,0.0350,0.0000
215443,0.0390,0.0010
247708,0.0440,0.0010
284804,0.0500,0.0000
327455,0.0580,0.0000
376494,0.0700,0.0010
432876,0.0790,0.0010
497702,0.0910,0.0010
572237,0.1030,0.0010
657933,0.1170,0.0010
756463,0.1330,0.0010
869749,0.1480,0.0020
1000000,0.2520,0.0020
1149757,0.3260,0.0020
1321941,0.3850,0.0020
1519911,0.4320,0.0020
1747528,0.5020,0.0020
2009233,0.5800,0.0030
2310130,0.6690,0.0030
2656088,0.7680,0.0030
3053856,0.8710,0.0030
3511192,1.0150,0.0050
4037017,1.1740,0.0050
4641589,1.3350,0.0040
5336699,1.5230,0.0050
6135907,1.7820,0.0060
7054802,2.0390,0.0060
8111308,2.3510,0.0080
9326033,2.6940,0.0090
10722672,3.1250,0.0100
12328467,3.5830,0.0120
14174742,4.1340,0.0130
16297508,4.7380,0.0150
18738174,5.4600,0.0170
21544347,6.2690,0.0230
24770764,7.3560,0.0230
28480359,8.1740,0.0310
32745492,9.4800,0.0350
37649358,10.8850,0.0390
43287613,12.5490,0.0410
49770236,14.4270,0.0510
57223677,16.6220,0.0550
65793322,19.0840,0.0700
75646333,22.0340,0.0900
86974900,25.2810,0.0950
100000000,28.9440,0.1080
